date,vaccgroup_zh,ncumul_firstvacc,ncumul_secondvacc
2021-01-29,C,5443,215
2021-01-29,D,2402,3
2021-01-29,E,1157,2
2021-01-29,F,1982,5
2021-01-29,G,7368,6
2021-01-29,H,129,0
2021-01-29,I,126,0
2021-01-29,K,59,0
2021-01-29,L,35,0
2021-01-29,M,441,1
2021-01-29,N,238,4
2021-01-29,O,3,0
2021-01-29,Q,0,0
2021-01-29,R,1,0
2021-01-29,S,0,0
2021-01-29,T,0,0
2021-01-29,NA,8,0
2021-01-30,A,25950,512
2021-01-30,B,1239,298
2021-01-30,C,5650,256
2021-01-30,D,2501,4
2021-01-30,E,1198,2
2021-01-30,F,2001,5
2021-01-30,G,7437,11
2021-01-30,H,130,0
2021-01-30,I,126,0
2021-01-30,K,59,0
2021-01-30,L,35,0
2021-01-30,M,442,1
2021-01-30,N,238,4
2021-01-30,O,3,0
2021-01-30,Q,0,0
2021-01-30,R,1,0
2021-01-30,S,0,0
2021-01-30,T,0,0
2021-01-30,NA,8,0
2021-01-31,A,25976,512
2021-01-31,B,1239,298
2021-01-31,C,5666,256
2021-01-31,D,2505,4
2021-01-31,E,1203,2
2021-01-31,F,2001,5
2021-01-31,G,7448,11
2021-01-31,H,130,0
2021-01-31,I,126,0
2021-01-31,K,59,0
2021-01-31,L,35,0
2021-01-31,M,442,1
2021-01-31,N,238,4
2021-01-31,O,3,0
2021-01-31,Q,0,0
2021-01-31,R,1,0
2021-01-31,S,0,0
2021-01-31,T,0,0
2021-01-31,NA,8,0
2021-02-01,A,27268,629
2021-02-01,B,1243,361
2021-02-01,C,5932,315
2021-02-01,D,2639,6
2021-02-01,E,1272,4
2021-02-01,F,2004,5
2021-02-01,G,7575,14
2021-02-01,H,150,0
2021-02-01,I,157,0
2021-02-01,K,72,0
2021-02-01,L,38,0
2021-02-01,M,450,2
2021-02-01,N,248,6
2021-02-01,O,3,0
2021-02-01,Q,0,0
2021-02-01,R,1,0
2021-02-01,S,0,0
2021-02-01,T,0,0
2021-02-01,NA,8,0
2021-02-02,A,28590,810
2021-02-02,B,1245,399
2021-02-02,C,6238,388
2021-02-02,D,2858,9
2021-02-02,E,1355,6
2021-02-02,F,2007,10
2021-02-02,G,7678,16
2021-02-02,H,150,0
2021-02-02,I,157,0
2021-02-02,K,93,0
2021-02-02,L,76,0
2021-02-02,M,456,5
2021-02-02,N,256,9
2021-02-02,O,3,0
2021-02-02,Q,0,0
2021-02-02,R,1,0
2021-02-02,S,0,0
2021-02-02,T,0,0
2021-02-02,NA,8,0
2021-02-03,A,29924,1086
2021-02-03,B,1245,430
2021-02-03,C,6584,437
2021-02-03,D,3023,12
2021-02-03,E,1419,13
2021-02-03,F,2008,25
2021-02-03,G,7788,43
2021-02-03,H,151,0
2021-02-03,I,157,0
2021-02-03,K,93,0
2021-02-03,L,78,0
2021-02-03,M,457,9
2021-02-03,N,258,12
2021-02-03,O,3,0
2021-02-03,Q,0,0
2021-02-03,R,1,0
2021-02-03,S,0,0
2021-02-03,T,0,0
2021-02-03,NA,9,0
2021-02-04,A,30988,1373
2021-02-04,B,1248,437
2021-02-04,C,6851,457
2021-02-04,D,3293,13
2021-02-04,E,1634,14
2021-02-04,F,2008,38
2021-02-04,G,7952,43
2021-02-04,H,151,0
2021-02-04,I,157,0
2021-02-04,K,93,0
2021-02-04,L,78,0
2021-02-04,M,461,14
2021-02-04,N,264,13
2021-02-04,O,5,0
2021-02-04,Q,0,0
2021-02-04,R,1,0
2021-02-04,S,0,0
2021-02-04,T,0,0
2021-02-04,NA,10,0
2021-02-05,A,32144,1644
2021-02-05,B,1250,445
2021-02-05,C,7210,485
2021-02-05,D,3548,14
2021-02-05,E,1781,14
2021-02-05,F,2058,67
2021-02-05,G,8194,43
2021-02-05,H,159,0
2021-02-05,I,161,0
2021-02-05,K,95,0
2021-02-05,L,78,0
2021-02-05,M,472,15
2021-02-05,N,271,15
2021-02-05,O,5,0
2021-02-05,Q,0,0
2021-02-05,R,1,0
2021-02-05,S,0,0
2021-02-05,T,0,0
2021-02-05,NA,11,0
2021-02-06,A,32365,1644
2021-02-06,B,1250,445
2021-02-06,C,7317,485
2021-02-06,D,3582,14
2021-02-06,E,1795,14
2021-02-06,F,2058,67
2021-02-06,G,8272,43
2021-02-06,H,159,0
2021-02-06,I,164,0
2021-02-06,K,95,0
2021-02-06,L,78,0
2021-02-06,M,472,15
2021-02-06,N,271,15
2021-02-06,O,5,0
2021-02-06,Q,0,0
2021-02-06,R,1,0
2021-02-06,S,0,0
2021-02-06,T,0,0
2021-02-06,NA,11,0
2021-02-07,A,32380,1644
2021-02-07,B,1250,445
2021-02-07,C,7326,485
2021-02-07,D,3590,14
2021-02-07,E,1839,14
2021-02-07,F,2058,67
2021-02-07,G,8309,43
2021-02-07,H,159,0
2021-02-07,I,164,0
2021-02-07,K,95,0
2021-02-07,L,78,0
2021-02-07,M,472,15
2021-02-07,N,271,15
2021-02-07,O,5,0
2021-02-07,Q,0,0
2021-02-07,R,1,0
2021-02-07,S,0,0
2021-02-07,T,0,0
2021-02-07,NA,11,0
2021-02-08,A,32954,2001
2021-02-08,B,1251,486
2021-02-08,C,7438,532
2021-02-08,D,3681,18
2021-02-08,E,1876,15
2021-02-08,F,2058,102
2021-02-08,G,8335,107
2021-02-08,H,159,0
2021-02-08,I,164,0
2021-02-08,K,101,0
2021-02-08,L,97,0
2021-02-08,M,478,28
2021-02-08,N,277,18
2021-02-08,O,5,0
2021-02-08,Q,0,0
2021-02-08,R,1,0
2021-02-08,S,0,0
2021-02-08,T,0,0
2021-02-08,NA,11,0
2021-02-09,A,34323,2464
2021-02-09,B,1258,580
2021-02-09,C,7730,653
2021-02-09,D,3936,73
2021-02-09,E,2108,38
2021-02-09,F,2060,287
2021-02-09,G,8909,459
2021-02-09,H,166,2
2021-02-09,I,170,3
2021-02-09,K,122,0
2021-02-09,L,138,0
2021-02-09,M,480,42
2021-02-09,N,279,26
2021-02-09,O,6,0
2021-02-09,Q,0,0
2021-02-09,R,1,0
2021-02-09,S,0,0
2021-02-09,T,0,0
2021-02-09,NA,13,1
2021-02-10,A,36512,2945
2021-02-10,B,1279,660
2021-02-10,C,8199,767
2021-02-10,D,4328,135
2021-02-10,E,2511,81
2021-02-10,F,2070,612
2021-02-10,G,10562,765
2021-02-10,H,228,5
2021-02-10,I,291,5
2021-02-10,K,132,0
2021-02-10,L,145,0
2021-02-10,M,483,51
2021-02-10,N,281,32
2021-02-10,O,8,0
2021-02-10,Q,0,0
2021-02-10,R,1,0
2021-02-10,S,0,0
2021-02-10,T,0,0
2021-02-10,NA,15,1
2021-02-11,A,39118,3450
2021-02-11,B,1286,737
2021-02-11,C,8718,876
2021-02-11,D,4595,212
2021-02-11,E,2692,129
2021-02-11,F,2188,901
2021-02-11,G,11806,1408
2021-02-11,H,304,7
2021-02-11,I,350,6
2021-02-11,K,190,0
2021-02-11,L,167,0
2021-02-11,M,486,64
2021-02-11,N,287,35
2021-02-11,O,9,0
2021-02-11,Q,0,0
2021-02-11,R,2,0
2021-02-11,S,0,0
2021-02-11,T,0,0
2021-02-11,NA,17,1
2021-02-12,A,41418,3976
2021-02-12,B,1290,783
2021-02-12,C,9180,960
2021-02-12,D,4899,264
2021-02-12,E,2917,169
2021-02-12,F,2232,1176
2021-02-12,G,12789,1823
2021-02-12,H,383,8
2021-02-12,I,466,8
2021-02-12,K,217,0
2021-02-12,L,181,0
2021-02-12,M,499,81
2021-02-12,N,289,45
2021-02-12,O,9,0
2021-02-12,Q,0,0
2021-02-12,R,2,0
2021-02-12,S,0,0
2021-02-12,T,0,0
2021-02-12,NA,19,1
2021-02-13,A,42208,3978
2021-02-13,B,1292,785
2021-02-13,C,9289,969
2021-02-13,D,4944,265
2021-02-13,E,2933,170
2021-02-13,F,2235,1521
2021-02-13,G,13201,1823
2021-02-13,H,397,8
2021-02-13,I,475,8
2021-02-13,K,229,0
2021-02-13,L,183,0
2021-02-13,M,499,81
2021-02-13,N,289,45
2021-02-13,O,10,0
2021-02-13,Q,0,0
2021-02-13,R,2,0
2021-02-13,S,0,0
2021-02-13,T,0,0
2021-02-13,NA,22,1
2021-02-14,A,42210,3978
2021-02-14,B,1293,785
2021-02-14,C,9289,969
2021-02-14,D,4945,266
2021-02-14,E,2933,170
2021-02-14,F,2235,1521
2021-02-14,G,13201,1823
2021-02-14,H,397,8
2021-02-14,I,475,8
2021-02-14,K,229,0
2021-02-14,L,183,0
2021-02-14,M,499,81
2021-02-14,N,289,45
2021-02-14,O,10,0
2021-02-14,Q,0,0
2021-02-14,R,2,0
2021-02-14,S,0,0
2021-02-14,T,0,0
2021-02-14,NA,22,1
2021-02-15,A,42824,4610
2021-02-15,B,1294,843
2021-02-15,C,9417,1072
2021-02-15,D,5006,268
2021-02-15,E,2940,171
2021-02-15,F,2241,1576
2021-02-15,G,13348,1823
2021-02-15,H,412,8
2021-02-15,I,483,8
2021-02-15,K,230,0
2021-02-15,L,184,0
2021-02-15,M,503,103
2021-02-15,N,303,57
2021-02-15,O,10,0
2021-02-15,Q,0,0
2021-02-15,R,2,0
2021-02-15,S,0,0
2021-02-15,T,0,0
2021-02-15,NA,22,1
2021-02-16,A,43433,5476
2021-02-16,B,1302,934
2021-02-16,C,9596,1226
2021-02-16,D,5269,298
2021-02-16,E,3114,186
2021-02-16,F,2314,1611
2021-02-16,G,13756,1831
2021-02-16,H,430,8
2021-02-16,I,487,8
2021-02-16,K,332,0
2021-02-16,L,265,0
2021-02-16,M,507,118
2021-02-16,N,305,67
2021-02-16,O,11,0
2021-02-16,Q,0,0
2021-02-16,R,2,0
2021-02-16,S,0,0
2021-02-16,T,0,0
2021-02-16,NA,22,1
2021-02-17,A,44040,7265
2021-02-17,B,1320,1051
2021-02-17,C,9763,1637
2021-02-17,D,5377,453
2021-02-17,E,3151,252
2021-02-17,F,2375,1812
2021-02-17,G,13863,1872
2021-02-17,H,435,8
2021-02-17,I,496,9
2021-02-17,K,332,0
2021-02-17,L,267,0
2021-02-17,M,535,140
2021-02-17,N,328,83
2021-02-17,O,11,0
2021-02-17,Q,0,0
2021-02-17,R,2,0
2021-02-17,S,0,0
2021-02-17,T,0,0
2021-02-17,NA,22,1
2021-02-18,A,44506,9479
2021-02-18,B,1334,1110
2021-02-18,C,9914,2009
2021-02-18,D,5440,614
2021-02-18,E,3172,305
2021-02-18,F,2426,1848
2021-02-18,G,13988,2033
2021-02-18,H,447,9
2021-02-18,I,504,9
2021-02-18,K,332,0
2021-02-18,L,267,0
2021-02-18,M,535,168
2021-02-18,N,333,100
2021-02-18,O,11,0
2021-02-18,Q,0,0
2021-02-18,R,2,0
2021-02-18,S,0,0
2021-02-18,T,0,0
2021-02-18,NA,22,1
2021-02-19,A,44729,11476
2021-02-19,B,1354,1196
2021-02-19,C,9995,2398
2021-02-19,D,5489,758
2021-02-19,E,3192,351
2021-02-19,F,2473,1912
2021-02-19,G,14006,2075
2021-02-19,H,447,9
2021-02-19,I,504,9
2021-02-19,K,332,0
2021-02-19,L,267,0
2021-02-19,M,539,205
2021-02-19,N,333,117
2021-02-19,O,11,0
2021-02-19,Q,0,0
2021-02-19,R,2,0
2021-02-19,S,0,0
2021-02-19,T,0,0
2021-02-19,NA,22,1
2021-02-20,A,44745,12227
2021-02-20,B,1354,1199
2021-02-20,C,10014,2520
2021-02-20,D,5493,882
2021-02-20,E,3197,398
2021-02-20,F,2473,1912
2021-02-20,G,14013,2099
2021-02-20,H,447,9
2021-02-20,I,504,9
2021-02-20,K,333,0
2021-02-20,L,267,0
2021-02-20,M,539,205
2021-02-20,N,333,117
2021-02-20,O,11,0
2021-02-20,Q,0,0
2021-02-20,R,2,0
2021-02-20,S,0,0
2021-02-20,T,0,0
2021-02-20,NA,22,1
2021-02-21,A,44748,12243
2021-02-21,B,1354,1199
2021-02-21,C,10014,2522
2021-02-21,D,5493,884
2021-02-21,E,3197,398
2021-02-21,F,2474,1912
2021-02-21,G,14014,2099
2021-02-21,H,447,9
2021-02-21,I,504,9
2021-02-21,K,333,0
2021-02-21,L,267,0
2021-02-21,M,539,205
2021-02-21,N,333,117
2021-02-21,O,11,0
2021-02-21,Q,0,0
2021-02-21,R,2,0
2021-02-21,S,0,0
2021-02-21,T,0,0
2021-02-21,NA,22,1
2021-02-22,A,44979,13300
2021-02-22,B,1354,1203
2021-02-22,C,10052,2730
2021-02-22,D,5507,979
2021-02-22,E,3201,430
2021-02-22,F,2475,1913
2021-02-22,G,14028,2120
2021-02-22,H,447,9
2021-02-22,I,504,9
2021-02-22,K,333,0
2021-02-22,L,267,0
2021-02-22,M,558,253
2021-02-22,N,343,133
2021-02-22,O,11,0
2021-02-22,Q,0,0
2021-02-22,R,2,0
2021-02-22,S,0,0
2021-02-22,T,0,0
2021-02-22,NA,22,1
2021-02-23,A,45259,15010
2021-02-23,B,1354,1204
2021-02-23,C,10117,3054
2021-02-23,D,5527,1112
2021-02-23,E,3213,468
2021-02-23,F,2476,1913
2021-02-23,G,14089,2210
2021-02-23,H,447,9
2021-02-23,I,504,9
2021-02-23,K,334,0
2021-02-23,L,267,0
2021-02-23,M,580,294
2021-02-23,N,348,152
2021-02-23,O,11,0
2021-02-23,Q,0,0
2021-02-23,R,2,0
2021-02-23,S,0,0
2021-02-23,T,0,0
2021-02-23,NA,23,1
2021-02-24,A,45596,17173
2021-02-24,B,1355,1205
2021-02-24,C,10183,3531
2021-02-24,D,5556,1300
2021-02-24,E,3221,532
2021-02-24,F,2479,1914
2021-02-24,G,14140,2546
2021-02-24,H,448,12
2021-02-24,I,504,9
2021-02-24,K,336,5
2021-02-24,L,267,2
2021-02-24,M,606,335
2021-02-24,N,362,160
2021-02-24,O,11,0
2021-02-24,Q,0,0
2021-02-24,R,2,0
2021-02-24,S,0,0
2021-02-24,T,0,0
2021-02-24,NA,23,1
2021-02-25,A,45929,19531
2021-02-25,B,1355,1208
2021-02-25,C,10275,4040
2021-02-25,D,5592,1497
2021-02-25,E,3235,589
2021-02-25,F,2482,1919
2021-02-25,G,14240,3468
2021-02-25,H,450,17
2021-02-25,I,504,15
2021-02-25,K,336,6
2021-02-25,L,267,2
2021-02-25,M,623,357
2021-02-25,N,376,171
2021-02-25,O,11,0
2021-02-25,Q,0,0
2021-02-25,R,2,0
2021-02-25,S,0,0
2021-02-25,T,0,0
2021-02-25,NA,24,1
2021-02-26,A,46185,21410
2021-02-26,B,1355,1210
2021-02-26,C,10342,4508
2021-02-26,D,5604,1728
2021-02-26,E,3238,650
2021-02-26,F,2513,1921
2021-02-26,G,14489,4150
2021-02-26,H,451,25
2021-02-26,I,504,19
2021-02-26,K,384,9
