date,ageclass,gender,ncumul_firstvacc,ncumul_secondvacc
2021-01-20,NA,d,0,0
2021-01-20,NA,f,1,0
2021-01-20,NA,m,0,0
2021-01-21,0-9,d,0,0
2021-01-21,0-9,f,1,0
2021-01-21,0-9,m,2,0
2021-01-21,10-19,d,0,0
2021-01-21,10-19,f,30,0
2021-01-21,10-19,m,16,0
2021-01-21,20-29,d,0,0
2021-01-21,20-29,f,511,0
2021-01-21,20-29,m,263,0
2021-01-21,30-39,d,0,0
2021-01-21,30-39,f,942,0
2021-01-21,30-39,m,659,0
2021-01-21,40-49,d,0,0
2021-01-21,40-49,f,949,0
2021-01-21,40-49,m,651,0
2021-01-21,50-59,d,0,0
2021-01-21,50-59,f,1192,1
2021-01-21,50-59,m,876,0
2021-01-21,60-69,d,0,0
2021-01-21,60-69,f,1031,1
2021-01-21,60-69,m,1065,0
2021-01-21,70-79,d,0,0
2021-01-21,70-79,f,1943,0
2021-01-21,70-79,m,2249,0
2021-01-21,80+,d,0,0
2021-01-21,80+,f,3940,0
2021-01-21,80+,m,3599,0
2021-01-21,NA,d,0,0
2021-01-21,NA,f,1,0
2021-01-21,NA,m,0,0
2021-01-22,0-9,d,0,0
2021-01-22,0-9,f,1,0
2021-01-22,0-9,m,2,0
2021-01-22,10-19,d,0,0
2021-01-22,10-19,f,45,0
2021-01-22,10-19,m,20,0
2021-01-22,20-29,d,0,0
2021-01-22,20-29,f,636,0
2021-01-22,20-29,m,312,0
2021-01-22,30-39,d,0,0
2021-01-22,30-39,f,1130,0
2021-01-22,30-39,m,750,0
2021-01-22,40-49,d,0,0
2021-01-22,40-49,f,1167,0
2021-01-22,40-49,m,772,0
2021-01-22,50-59,d,0,0
2021-01-22,50-59,f,1519,1
2021-01-22,50-59,m,1084,0
2021-01-22,60-69,d,0,0
2021-01-22,60-69,f,1270,1
2021-01-22,60-69,m,1287,0
2021-01-22,70-79,d,0,0
2021-01-22,70-79,f,2513,0
2021-01-22,70-79,m,2780,0
2021-01-22,80+,d,0,0
2021-01-22,80+,f,4817,0
2021-01-22,80+,m,4323,0
2021-01-22,NA,d,0,0
2021-01-22,NA,f,2,0
2021-01-22,NA,m,1,0
2021-01-23,0-9,d,0,0
2021-01-23,0-9,f,1,0
2021-01-23,0-9,m,2,0
2021-01-23,10-19,d,0,0
2021-01-23,10-19,f,49,0
2021-01-23,10-19,m,22,0
2021-01-23,20-29,d,0,0
2021-01-23,20-29,f,651,0
2021-01-23,20-29,m,314,0
2021-01-23,30-39,d,0,0
2021-01-23,30-39,f,1168,0
2021-01-23,30-39,m,755,0
2021-01-23,40-49,d,0,0
2021-01-23,40-49,f,1201,0
2021-01-23,40-49,m,799,0
2021-01-23,50-59,d,0,0
2021-01-23,50-59,f,1604,1
2021-01-23,50-59,m,1127,0
2021-01-23,60-69,d,0,0
2021-01-23,60-69,f,1337,1
2021-01-23,60-69,m,1350,0
2021-01-23,70-79,d,0,0
2021-01-23,70-79,f,2702,0
2021-01-23,70-79,m,2922,0
2021-01-23,80+,d,0,0
2021-01-23,80+,f,5077,0
2021-01-23,80+,m,4517,0
2021-01-23,NA,d,0,0
2021-01-23,NA,f,2,0
2021-01-23,NA,m,1,0
2021-01-24,0-9,d,0,0
2021-01-24,0-9,f,1,0
2021-01-24,0-9,m,2,0
2021-01-24,10-19,d,0,0
2021-01-24,10-19,f,49,0
2021-01-24,10-19,m,22,0
2021-01-24,20-29,d,0,0
2021-01-24,20-29,f,651,0
2021-01-24,20-29,m,314,0
2021-01-24,30-39,d,0,0
2021-01-24,30-39,f,1168,0
2021-01-24,30-39,m,755,0
2021-01-24,40-49,d,0,0
2021-01-24,40-49,f,1201,0
2021-01-24,40-49,m,801,0
2021-01-24,50-59,d,0,0
2021-01-24,50-59,f,1604,1
2021-01-24,50-59,m,1128,0
2021-01-24,60-69,d,0,0
2021-01-24,60-69,f,1338,1
2021-01-24,60-69,m,1353,0
2021-01-24,70-79,d,0,0
2021-01-24,70-79,f,2703,0
2021-01-24,70-79,m,2927,0
2021-01-24,80+,d,0,0
2021-01-24,80+,f,5085,0
2021-01-24,80+,m,4522,0
2021-01-24,NA,d,0,0
2021-01-24,NA,f,2,0
2021-01-24,NA,m,1,0
2021-01-25,0-9,d,0,0
2021-01-25,0-9,f,1,0
2021-01-25,0-9,m,2,0
2021-01-25,10-19,d,0,0
2021-01-25,10-19,f,50,0
2021-01-25,10-19,m,22,0
2021-01-25,20-29,d,0,0
2021-01-25,20-29,f,663,0
2021-01-25,20-29,m,315,0
2021-01-25,30-39,d,0,0
2021-01-25,30-39,f,1180,0
2021-01-25,30-39,m,772,0
2021-01-25,40-49,d,0,0
2021-01-25,40-49,f,1229,0
2021-01-25,40-49,m,822,0
2021-01-25,50-59,d,0,0
2021-01-25,50-59,f,1657,1
2021-01-25,50-59,m,1180,0
2021-01-25,60-69,d,0,0
2021-01-25,60-69,f,1413,1
2021-01-25,60-69,m,1455,1
2021-01-25,70-79,d,0,0
2021-01-25,70-79,f,3018,0
2021-01-25,70-79,m,3223,0
2021-01-25,80+,d,0,0
2021-01-25,80+,f,5503,0
2021-01-25,80+,m,4923,1
2021-01-25,NA,d,0,0
2021-01-25,NA,f,2,0
2021-01-25,NA,m,1,0
2021-01-26,0-9,d,0,0
2021-01-26,0-9,f,1,0
2021-01-26,0-9,m,2,0
2021-01-26,10-19,d,0,0
2021-01-26,10-19,f,57,2
2021-01-26,10-19,m,25,0
2021-01-26,20-29,d,0,0
2021-01-26,20-29,f,706,1
2021-01-26,20-29,m,350,3
2021-01-26,30-39,d,0,0
2021-01-26,30-39,f,1235,3
2021-01-26,30-39,m,811,8
2021-01-26,40-49,d,0,0
2021-01-26,40-49,f,1313,8
2021-01-26,40-49,m,910,10
2021-01-26,50-59,d,0,0
2021-01-26,50-59,f,1824,6
2021-01-26,50-59,m,1335,15
2021-01-26,60-69,d,1,0
2021-01-26,60-69,f,1594,19
2021-01-26,60-69,m,1643,32
2021-01-26,70-79,d,0,0
2021-01-26,70-79,f,3451,22
2021-01-26,70-79,m,3662,50
2021-01-26,80+,d,0,0
2021-01-26,80+,f,6231,15
2021-01-26,80+,m,5546,23
2021-01-26,NA,d,0,0
2021-01-26,NA,f,2,0
2021-01-26,NA,m,1,0
2021-01-27,0-9,d,0,0
2021-01-27,0-9,f,1,0
2021-01-27,0-9,m,2,0
2021-01-27,10-19,d,0,0
2021-01-27,10-19,f,68,2
2021-01-27,10-19,m,36,0
2021-01-27,20-29,d,0,0
2021-01-27,20-29,f,786,2
2021-01-27,20-29,m,401,9
2021-01-27,30-39,d,0,0
2021-01-27,30-39,f,1379,9
2021-01-27,30-39,m,901,12
2021-01-27,40-49,d,0,0
2021-01-27,40-49,f,1486,15
2021-01-27,40-49,m,1042,17
2021-01-27,50-59,d,0,0
2021-01-27,50-59,f,2132,12
2021-01-27,50-59,m,1571,36
2021-01-27,60-69,d,1,0
2021-01-27,60-69,f,1918,36
2021-01-27,60-69,m,1948,51
2021-01-27,70-79,d,1,0
2021-01-27,70-79,f,4066,46
2021-01-27,70-79,m,4242,97
2021-01-27,80+,d,0,0
2021-01-27,80+,f,7485,27
2021-01-27,80+,m,6278,37
2021-01-27,NA,d,0,0
2021-01-27,NA,f,2,0
2021-01-27,NA,m,2,0
2021-01-28,0-9,d,0,0
2021-01-28,0-9,f,1,0
2021-01-28,0-9,m,2,0
2021-01-28,10-19,d,0,0
2021-01-28,10-19,f,93,2
2021-01-28,10-19,m,50,0
2021-01-28,20-29,d,0,0
2021-01-28,20-29,f,941,5
2021-01-28,20-29,m,490,9
2021-01-28,30-39,d,0,0
2021-01-28,30-39,f,1584,15
2021-01-28,30-39,m,1024,17
2021-01-28,40-49,d,0,0
2021-01-28,40-49,f,1758,19
2021-01-28,40-49,m,1208,31
2021-01-28,50-59,d,0,0
2021-01-28,50-59,f,2488,21
2021-01-28,50-59,m,1837,50
2021-01-28,60-69,d,1,0
2021-01-28,60-69,f,2201,45
2021-01-28,60-69,m,2213,73
2021-01-28,70-79,d,1,0
2021-01-28,70-79,f,4620,82
2021-01-28,70-79,m,4776,143
2021-01-28,80+,d,1,0
2021-01-28,80+,f,8541,48
2021-01-28,80+,m,6976,61
2021-01-28,NA,d,0,0
2021-01-28,NA,f,2,0
2021-01-28,NA,m,4,0
2021-01-29,0-9,d,0,0
2021-01-29,0-9,f,1,0
2021-01-29,0-9,m,2,0
2021-01-29,10-19,d,0,0
2021-01-29,10-19,f,111,2
2021-01-29,10-19,m,55,0
2021-01-29,20-29,d,0,0
2021-01-29,20-29,f,1062,9
2021-01-29,20-29,m,543,11
2021-01-29,30-39,d,0,0
2021-01-29,30-39,f,1729,20
2021-01-29,30-39,m,1124,20
2021-01-29,40-49,d,0,0
2021-01-29,40-49,f,1964,27
2021-01-29,40-49,m,1354,38
2021-01-29,50-59,d,0,0
2021-01-29,50-59,f,2851,30
2021-01-29,50-59,m,2071,59
2021-01-29,60-69,d,1,0
2021-01-29,60-69,f,2526,58
2021-01-29,60-69,m,2471,94
2021-01-29,70-79,d,5,0
2021-01-29,70-79,f,5256,114
2021-01-29,70-79,m,5383,180
2021-01-29,80+,d,1,0
2021-01-29,80+,f,9646,78
2021-01-29,80+,m,7684,95
2021-01-29,NA,d,0,0
2021-01-29,NA,f,4,0
2021-01-29,NA,m,4,0
2021-01-30,0-9,d,0,0
2021-01-30,0-9,f,1,0
2021-01-30,0-9,m,2,0
2021-01-30,10-19,d,0,0
2021-01-30,10-19,f,113,2
2021-01-30,10-19,m,55,0
2021-01-30,20-29,d,0,0
2021-01-30,20-29,f,1078,11
2021-01-30,20-29,m,550,12
2021-01-30,30-39,d,0,0
2021-01-30,30-39,f,1740,25
2021-01-30,30-39,m,1135,22
2021-01-30,40-49,d,0,0
2021-01-30,40-49,f,1998,29
2021-01-30,40-49,m,1371,40
