date,ageclass,gender,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-01-17,NA,d,0,0,0
2021-01-17,NA,f,32,0,0
2021-01-17,NA,m,15,0,0
2021-01-18,0-9,d,0,0,0
2021-01-18,0-9,f,13,0,0
2021-01-18,0-9,m,4,0,0
2021-01-18,10-19,d,1,0,0
2021-01-18,10-19,f,662,4,0
2021-01-18,10-19,m,300,2,0
2021-01-18,20-29,d,1,0,0
2021-01-18,20-29,f,5401,161,0
2021-01-18,20-29,m,2745,104,0
2021-01-18,30-39,d,4,0,0
2021-01-18,30-39,f,7966,334,0
2021-01-18,30-39,m,5263,304,0
2021-01-18,40-49,d,8,0,0
2021-01-18,40-49,f,10285,269,0
2021-01-18,40-49,m,7102,238,0
2021-01-18,50-59,d,9,0,0
2021-01-18,50-59,f,15381,246,1
2021-01-18,50-59,m,12312,274,0
2021-01-18,60-69,d,13,0,0
2021-01-18,60-69,f,17226,273,1
2021-01-18,60-69,m,15433,359,0
2021-01-18,70-79,d,25,0,0
2021-01-18,70-79,f,25716,548,0
2021-01-18,70-79,m,22845,785,0
2021-01-18,80+,d,15,0,0
2021-01-18,80+,f,32638,1349,0
2021-01-18,80+,m,22835,1557,0
2021-01-18,NA,d,0,0,0
2021-01-18,NA,f,32,0,0
2021-01-18,NA,m,15,0,0
2021-01-19,0-9,d,0,0,0
2021-01-19,0-9,f,13,0,0
2021-01-19,0-9,m,4,0,0
2021-01-19,10-19,d,1,0,0
2021-01-19,10-19,f,662,6,0
2021-01-19,10-19,m,300,5,0
2021-01-19,20-29,d,1,0,0
2021-01-19,20-29,f,5401,237,0
2021-01-19,20-29,m,2745,147,0
2021-01-19,30-39,d,4,0,0
2021-01-19,30-39,f,7966,487,0
2021-01-19,30-39,m,5263,395,0
2021-01-19,40-49,d,8,0,0
2021-01-19,40-49,f,10285,432,0
2021-01-19,40-49,m,7102,333,0
2021-01-19,50-59,d,9,0,0
2021-01-19,50-59,f,15381,401,1
2021-01-19,50-59,m,12312,394,0
2021-01-19,60-69,d,13,0,0
2021-01-19,60-69,f,17226,401,1
2021-01-19,60-69,m,15433,521,0
2021-01-19,70-79,d,25,0,0
2021-01-19,70-79,f,25716,763,0
2021-01-19,70-79,m,22845,1049,0
2021-01-19,80+,d,15,0,0
2021-01-19,80+,f,32638,1742,0
2021-01-19,80+,m,22835,1965,0
2021-01-19,NA,d,0,0,0
2021-01-19,NA,f,32,1,0
2021-01-19,NA,m,15,0,0
2021-01-20,0-9,d,0,0,0
2021-01-20,0-9,f,13,0,0
2021-01-20,0-9,m,4,0,0
2021-01-20,10-19,d,1,0,0
2021-01-20,10-19,f,662,12,0
2021-01-20,10-19,m,300,9,0
2021-01-20,20-29,d,1,0,0
2021-01-20,20-29,f,5401,387,0
2021-01-20,20-29,m,2745,200,0
2021-01-20,30-39,d,4,0,0
2021-01-20,30-39,f,7966,693,0
2021-01-20,30-39,m,5263,524,0
2021-01-20,40-49,d,8,0,0
2021-01-20,40-49,f,10285,648,0
2021-01-20,40-49,m,7102,498,0
2021-01-20,50-59,d,9,0,0
2021-01-20,50-59,f,15381,682,1
2021-01-20,50-59,m,12312,601,0
2021-01-20,60-69,d,13,0,0
2021-01-20,60-69,f,17226,670,1
2021-01-20,60-69,m,15433,769,0
2021-01-20,70-79,d,25,0,0
