date,vaccgroup_zh,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-02-05,O,30,5,0
2021-02-05,P,0,0,0
2021-02-05,Q,0,0,0
2021-02-05,R,2,1,0
2021-02-05,S,0,0,0
2021-02-05,T,0,0,0
2021-02-05,NA,47,11,0
2021-02-06,A,85610,32365,1644
2021-02-06,B,6615,1250,445
2021-02-06,C,35915,7317,485
2021-02-06,D,23388,3582,14
2021-02-06,E,10886,1795,14
2021-02-06,F,4399,2058,67
2021-02-06,G,32324,8272,43
2021-02-06,H,605,159,0
2021-02-06,I,688,164,0
2021-02-06,K,692,95,0
2021-02-06,L,452,78,0
2021-02-06,M,1627,472,15
2021-02-06,N,970,271,15
2021-02-06,O,30,5,0
2021-02-06,P,0,0,0
2021-02-06,Q,0,0,0
2021-02-06,R,2,1,0
2021-02-06,S,0,0,0
2021-02-06,T,0,0,0
2021-02-06,NA,47,11,0
2021-02-07,A,85610,32380,1644
2021-02-07,B,6615,1250,445
2021-02-07,C,35915,7326,485
2021-02-07,D,23388,3590,14
2021-02-07,E,10886,1839,14
2021-02-07,F,4399,2058,67
2021-02-07,G,32324,8309,43
2021-02-07,H,605,159,0
2021-02-07,I,688,164,0
2021-02-07,K,692,95,0
2021-02-07,L,452,78,0
2021-02-07,M,1627,472,15
2021-02-07,N,970,271,15
2021-02-07,O,30,5,0
2021-02-07,P,0,0,0
2021-02-07,Q,0,0,0
2021-02-07,R,2,1,0
2021-02-07,S,0,0,0
2021-02-07,T,0,0,0
2021-02-07,NA,47,11,0
2021-02-08,A,85610,32954,2001
2021-02-08,B,6615,1251,486
2021-02-08,C,35915,7438,532
2021-02-08,D,23388,3681,18
2021-02-08,E,10886,1876,15
2021-02-08,F,4399,2058,102
2021-02-08,G,32324,8335,107
2021-02-08,H,605,159,0
2021-02-08,I,688,164,0
2021-02-08,K,692,101,0
2021-02-08,L,452,97,0
2021-02-08,M,1627,478,28
2021-02-08,N,970,277,18
2021-02-08,O,30,5,0
2021-02-08,P,0,0,0
2021-02-08,Q,0,0,0
2021-02-08,R,2,1,0
2021-02-08,S,0,0,0
2021-02-08,T,0,0,0
2021-02-08,NA,47,11,0
2021-02-09,A,85610,34323,2464
2021-02-09,B,6615,1258,580
2021-02-09,C,35915,7730,653
2021-02-09,D,23388,3936,73
2021-02-09,E,10886,2108,38
2021-02-09,F,4399,2060,287
2021-02-09,G,32324,8909,459
2021-02-09,H,605,166,2
2021-02-09,I,688,170,3
2021-02-09,K,692,122,0
2021-02-09,L,452,138,0
2021-02-09,M,1627,480,42
2021-02-09,N,970,279,26
2021-02-09,O,30,6,0
2021-02-09,P,0,0,0
2021-02-09,Q,0,0,0
2021-02-09,R,2,1,0
2021-02-09,S,0,0,0
2021-02-09,T,0,0,0
2021-02-09,NA,47,13,1
2021-02-10,A,85610,36512,2945
2021-02-10,B,6615,1279,660
2021-02-10,C,35915,8199,767
2021-02-10,D,23388,4328,135
2021-02-10,E,10886,2511,81
2021-02-10,F,4399,2070,612
2021-02-10,G,32324,10562,765
2021-02-10,H,605,228,5
2021-02-10,I,688,291,5
2021-02-10,K,692,132,0
2021-02-10,L,452,145,0
2021-02-10,M,1627,483,51
2021-02-10,N,970,281,32
2021-02-10,O,30,8,0
2021-02-10,P,0,0,0
2021-02-10,Q,0,0,0
2021-02-10,R,2,1,0
2021-02-10,S,0,0,0
2021-02-10,T,0,0,0
2021-02-10,NA,47,15,1
2021-02-11,A,85610,39118,3450
2021-02-11,B,6615,1286,737
2021-02-11,C,35915,8718,876
2021-02-11,D,23388,4595,212
2021-02-11,E,10886,2692,129
2021-02-11,F,4399,2188,901
2021-02-11,G,32324,11806,1408
2021-02-11,H,605,304,7
2021-02-11,I,688,350,6
2021-02-11,K,692,190,0
2021-02-11,L,452,167,0
2021-02-11,M,1627,486,64
2021-02-11,N,970,287,35
2021-02-11,O,30,9,0
2021-02-11,P,0,0,0
2021-02-11,Q,0,0,0
2021-02-11,R,2,2,0
2021-02-11,S,0,0,0
2021-02-11,T,0,0,0
2021-02-11,NA,47,17,1
2021-02-12,A,85610,41418,3976
2021-02-12,B,6615,1290,783
2021-02-12,C,35915,9180,960
2021-02-12,D,23388,4899,264
2021-02-12,E,10886,2917,169
2021-02-12,F,4399,2232,1176
2021-02-12,G,32324,12789,1823
2021-02-12,H,605,383,8
2021-02-12,I,688,466,8
2021-02-12,K,692,217,0
