week_from,week_until,calendar_week,plz,population,ncumul_firstvacc,ncumul_secondvacc
2021-01-01,2021-01-24,3,8805,10485,166,0
2021-01-01,2021-01-24,3,8810,20446,290,0
2021-01-01,2021-01-24,3,8815,346,3,0
2021-01-01,2021-01-24,3,8816,2138,19,0
2021-01-01,2021-01-24,3,8820,15751,246,0
2021-01-01,2021-01-24,3,8824,1821,11,0
2021-01-01,2021-01-24,3,8825,885,11,0
2021-01-01,2021-01-24,3,8833,3120,22,0
2021-01-01,2021-01-24,3,8902,10020,220,0
2021-01-01,2021-01-24,3,8903,6722,122,0
2021-01-01,2021-01-24,3,8904,1667,42,0
2021-01-01,2021-01-24,3,8906,5555,77,0
2021-01-01,2021-01-24,3,8907,5200,100,0
2021-01-01,2021-01-24,3,8908,3769,45,0
2021-01-01,2021-01-24,3,8909,1322,9,0
2021-01-01,2021-01-24,3,8910,10967,220,0
2021-01-01,2021-01-24,3,8911,1123,14,0
2021-01-01,2021-01-24,3,8912,5689,51,0
2021-01-01,2021-01-24,3,8913,2580,26,0
2021-01-01,2021-01-24,3,8914,1976,20,0
2021-01-01,2021-01-24,3,8915,2752,77,0
2021-01-01,2021-01-24,3,8925,960,15,0
2021-01-01,2021-01-24,3,8926,1221,10,0
2021-01-01,2021-01-24,3,8932,5189,31,0
2021-01-01,2021-01-24,3,8933,645,4,0
2021-01-01,2021-01-24,3,8934,2377,15,0
2021-01-01,2021-01-24,3,8942,4926,79,0
2021-01-01,2021-01-24,3,8951,3068,21,0
2021-01-01,2021-01-24,3,8952,18758,259,0
2021-01-01,2021-01-24,3,8953,27635,213,0
2021-01-01,2021-01-24,3,8954,3970,56,0
2021-01-01,2021-01-24,3,8955,2505,24,0
2021-01-01,2021-01-24,3,andere Kantone,NA,347,0
2021-01-01,2021-01-24,3,Nachbarkantone,NA,1364,0
2021-01-01,2021-01-24,3,unbekannt,NA,379,0
2021-01-01,2021-01-24,3,ZH aber ausserkantonal geimpft,NA,827,75
2021-01-25,2021-01-31,4,8001,5473,299,15
2021-01-25,2021-01-31,4,8002,9620,371,11
2021-01-25,2021-01-31,4,8003,20655,453,7
2021-01-25,2021-01-31,4,8004,27183,542,17
2021-01-25,2021-01-31,4,8005,15505,312,11
2021-01-25,2021-01-31,4,8006,18387,840,32
2021-01-25,2021-01-31,4,8008,16571,846,14
2021-01-25,2021-01-31,4,8032,18170,886,23
2021-01-25,2021-01-31,4,8037,16044,668,9
2021-01-25,2021-01-31,4,8038,17299,773,13
2021-01-25,2021-01-31,4,8041,7620,242,2
2021-01-25,2021-01-31,4,8044,10947,621,35
2021-01-25,2021-01-31,4,8045,11222,486,5
2021-01-25,2021-01-31,4,8046,25704,471,17
2021-01-25,2021-01-31,4,8047,20783,680,10
2021-01-25,2021-01-31,4,8048,29694,893,16
2021-01-25,2021-01-31,4,8049,23561,930,18
2021-01-25,2021-01-31,4,8050,28957,577,22
2021-01-25,2021-01-31,4,8051,23000,747,7
2021-01-25,2021-01-31,4,8052,20277,409,13
2021-01-25,2021-01-31,4,8053,11001,771,23
2021-01-25,2021-01-31,4,8055,20196,748,13
2021-01-25,2021-01-31,4,8057,21221,556,25
2021-01-25,2021-01-31,4,8064,3784,148,0
2021-01-25,2021-01-31,4,8102,6717,163,3
2021-01-25,2021-01-31,4,8103,3895,93,4
2021-01-25,2021-01-31,4,8104,2675,52,0
2021-01-25,2021-01-31,4,8105,13633,263,10
2021-01-25,2021-01-31,4,8106,4807,50,0
2021-01-25,2021-01-31,4,8107,6583,109,2
2021-01-25,2021-01-31,4,8108,4174,85,3
2021-01-25,2021-01-31,4,8112,2957,48,0
2021-01-25,2021-01-31,4,8113,1435,18,1
2021-01-25,2021-01-31,4,8114,1865,20,0
2021-01-25,2021-01-31,4,8115,953,11,2
2021-01-25,2021-01-31,4,8117,4564,176,4
2021-01-25,2021-01-31,4,8118,2083,87,3
2021-01-25,2021-01-31,4,8121,1999,73,2
2021-01-25,2021-01-31,4,8122,2231,52,0
2021-01-25,2021-01-31,4,8123,2771,120,6
2021-01-25,2021-01-31,4,8124,2130,54,6
2021-01-25,2021-01-31,4,8125,5209,411,3
